State	Model	DGPost	GDagSlide	RateActivate	RateDeactivate	bubbleLeft	bubbleRight	deltaGDaggerBacktrack	hybridLen	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	logPrior	chiSquared
9560	1	-3.9828043480	23.8633816917	0.0384190505	0.0558032610	2.0000000000	1.0000000000	3.5619523341	11.0000000000	241.5338525283	0.1070000000	0.0960000000	0.0710000000	0.0630000000	0.0470000000	0.0200000000	0.0160000000	0.0100000000	0.0130000000	0.0120000000	0.0040000000	0.0030000000	0.0030000000	0.0010000000	0.0030000000	0.0040000000	0.0030000000	0.0040000000	0.0010000000	0.0000000000	0.0780000000	0.0630000000	0.0550000000	0.0560000000	0.0350000000	0.0170000000	0.0160000000	0.0150000000	0.0060000000	0.0080000000	0.0040000000	0.0060000000	0.0070000000	0.0020000000	0.0060000000	0.0070000000	0.0070000000	0.0050000000	0.0000000000	0.0020000000	-15.438515	0.061136
9580	1	-3.9828043480	23.8633816917	0.0384190505	0.0558032610	2.0000000000	1.0000000000	3.5619523341	11.0000000000	241.5338525283	0.1070000000	0.0960000000	0.0710000000	0.0630000000	0.0470000000	0.0200000000	0.0160000000	0.0100000000	0.0130000000	0.0120000000	0.0040000000	0.0030000000	0.0030000000	0.0010000000	0.0030000000	0.0040000000	0.0030000000	0.0040000000	0.0010000000	0.0000000000	0.0780000000	0.0630000000	0.0550000000	0.0560000000	0.0350000000	0.0170000000	0.0160000000	0.0150000000	0.0060000000	0.0080000000	0.0040000000	0.0060000000	0.0070000000	0.0020000000	0.0060000000	0.0070000000	0.0070000000	0.0050000000	0.0000000000	0.0020000000	-15.438515	0.061136
9600	1	-3.9828043480	23.8633816917	0.0384190505	0.0558032610	2.0000000000	1.0000000000	3.5619523341	11.0000000000	241.5338525283	0.1070000000	0.0960000000	0.0710000000	0.0630000000	0.0470000000	0.0200000000	0.0160000000	0.0100000000	0.0130000000	0.0120000000	0.0040000000	0.0030000000	0.0030000000	0.0010000000	0.0030000000	0.0040000000	0.0030000000	0.0040000000	0.0010000000	0.0000000000	0.0780000000	0.0630000000	0.0550000000	0.0560000000	0.0350000000	0.0170000000	0.0160000000	0.0150000000	0.0060000000	0.0080000000	0.0040000000	0.0060000000	0.0070000000	0.0020000000	0.0060000000	0.0070000000	0.0070000000	0.0050000000	0.0000000000	0.0020000000	-15.438515	0.061136
9620	1	-3.9828043480	23.8633816917	0.0384190505	0.0558032610	2.0000000000	1.0000000000	3.5619523341	11.0000000000	241.5338525283	0.1070000000	0.0960000000	0.0710000000	0.0630000000	0.0470000000	0.0200000000	0.0160000000	0.0100000000	0.0130000000	0.0120000000	0.0040000000	0.0030000000	0.0030000000	0.0010000000	0.0030000000	0.0040000000	0.0030000000	0.0040000000	0.0010000000	0.0000000000	0.0780000000	0.0630000000	0.0550000000	0.0560000000	0.0350000000	0.0170000000	0.0160000000	0.0150000000	0.0060000000	0.0080000000	0.0040000000	0.0060000000	0.0070000000	0.0020000000	0.0060000000	0.0070000000	0.0070000000	0.0050000000	0.0000000000	0.0020000000	-15.438515	0.061136
9640	2	-4.0561541865	23.8639996663	0.0384190505	0.0607615590	2.0000000000	1.0000000000	3.5619523341	11.0000000000	241.5342307973	0.1080000000	0.0980000000	0.0870000000	0.0740000000	0.0610000000	0.0130000000	0.0090000000	0.0110000000	0.0190000000	0.0180000000	0.0040000000	0.0050000000	0.0060000000	0.0030000000	0.0020000000	0.0020000000	0.0000000000	0.0030000000	0.0010000000	0.0020000000	0.0940000000	0.0830000000	0.0670000000	0.0610000000	0.0430000000	0.0220000000	0.0150000000	0.0120000000	0.0070000000	0.0040000000	0.0070000000	0.0060000000	0.0040000000	0.0040000000	0.0010000000	0.0040000000	0.0050000000	0.0060000000	0.0040000000	0.0030000000	-15.567791	0.064142
9660	2	-4.0561541865	23.8647377466	0.0439592130	0.0607615590	2.0000000000	1.0000000000	3.5619523341	11.0000000000	133.8664206686	0.1060000000	0.0910000000	0.0670000000	0.0720000000	0.0330000000	0.0100000000	0.0160000000	0.0140000000	0.0120000000	0.0100000000	0.0070000000	0.0020000000	0.0030000000	0.0020000000	0.0000000000	0.0010000000	0.0030000000	0.0040000000	0.0020000000	0.0000000000	0.0980000000	0.0750000000	0.0670000000	0.0650000000	0.0430000000	0.0180000000	0.0160000000	0.0110000000	0.0100000000	0.0030000000	0.0080000000	0.0050000000	0.0040000000	0.0020000000	0.0040000000	0.0030000000	0.0090000000	0.0070000000	0.0020000000	0.0050000000	-12.652041	0.065039
9680	2	-3.8796698266	23.8647377466	0.0439591653	0.0599762289	2.0000000000	1.0000000000	3.9288503027	11.0000000000	130.8367056563	0.1050000000	0.0860000000	0.0760000000	0.0650000000	0.0380000000	0.0130000000	0.0170000000	0.0120000000	0.0080000000	0.0150000000	0.0010000000	0.0030000000	0.0030000000	0.0020000000	0.0020000000	0.0020000000	0.0020000000	0.0020000000	0.0010000000	0.0050000000	0.0700000000	0.0600000000	0.0710000000	0.0580000000	0.0380000000	0.0160000000	0.0100000000	0.0060000000	0.0060000000	0.0050000000	0.0090000000	0.0040000000	0.0060000000	0.0020000000	0.0020000000	0.0060000000	0.0030000000	0.0030000000	0.0050000000	0.0040000000	-12.338972	0.064726
9700	1	-3.8796698266	23.8647377466	0.0440816885	0.0599762289	2.0000000000	1.0000000000	3.9288503027	11.0000000000	130.8367056564	0.1020000000	0.0780000000	0.0690000000	0.0580000000	0.0420000000	0.0170000000	0.0200000000	0.0180000000	0.0150000000	0.0200000000	0.0030000000	0.0010000000	0.0030000000	0.0000000000	0.0010000000	0.0020000000	0.0050000000	0.0010000000	0.0030000000	0.0030000000	0.0740000000	0.0590000000	0.0720000000	0.0410000000	0.0370000000	0.0090000000	0.0130000000	0.0140000000	0.0100000000	0.0060000000	0.0050000000	0.0020000000	0.0020000000	0.0030000000	0.0020000000	0.0050000000	0.0020000000	0.0040000000	0.0030000000	0.0040000000	-12.337601	0.068608
9720	1	-3.8796698266	23.8647377466	0.0440816885	0.0599762289	2.0000000000	1.0000000000	3.9288503027	11.0000000000	130.8367056564	0.1020000000	0.0780000000	0.0690000000	0.0580000000	0.0420000000	0.0170000000	0.0200000000	0.0180000000	0.0150000000	0.0200000000	0.0030000000	0.0010000000	0.0030000000	0.0000000000	0.0010000000	0.0020000000	0.0050000000	0.0010000000	0.0030000000	0.0030000000	0.0740000000	0.0590000000	0.0720000000	0.0410000000	0.0370000000	0.0090000000	0.0130000000	0.0140000000	0.0100000000	0.0060000000	0.0050000000	0.0020000000	0.0020000000	0.0030000000	0.0020000000	0.0050000000	0.0020000000	0.0040000000	0.0030000000	0.0040000000	-12.337601	0.068608
9740	1	-3.8796698266	23.8647377466	0.0440816885	0.0599762289	2.0000000000	1.0000000000	3.9288503027	11.0000000000	130.8367056564	0.1020000000	0.0780000000	0.0690000000	0.0580000000	0.0420000000	0.0170000000	0.0200000000	0.0180000000	0.0150000000	0.0200000000	0.0030000000	0.0010000000	0.0030000000	0.0000000000	0.0010000000	0.0020000000	0.0050000000	0.0010000000	0.0030000000	0.0030000000	0.0740000000	0.0590000000	0.0720000000	0.0410000000	0.0370000000	0.0090000000	0.0130000000	0.0140000000	0.0100000000	0.0060000000	0.0050000000	0.0020000000	0.0020000000	0.0030000000	0.0020000000	0.0050000000	0.0020000000	0.0040000000	0.0030000000	0.0040000000	-12.337601	0.068608
