State	Model	DGPost	GDagSlide	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	logPrior	chiSquared	
30040000	11	-1.9705461808	5.0527306817	101.5857436369	0.9142486828	3.1390484194	26.3881527893	6.565299	8.063728	9.787558	12.048856	16.351301	18.173904	19.498541	20.590606	21.442497	22.561317	6.290307	7.780839	9.693853	13.796143	15.675254	16.937053	18.01101	18.901145	19.93609	0.254887	0.488029	0.98695	1.901129	3.501306	7.211295	16.570582	19.674893	22.308334	1.894432	2.530953	4.088471	4.941138	5.558539	6.171172	6.716682	7.389284	0.22011	0.300789	0.515207	0.63139	0.729585	0.819724	0.900335	1.018239	-12.091813	2.373839	
30080000	11	-1.9298772356	4.9988456596	98.4243069912	0.5731533236	3.289212457	26.023759795	6.531448	8.064758	9.762455	12.040347	16.529394	18.3687	19.642198	20.652822	21.566506	22.454458	6.249229	7.764193	9.719	13.88745	15.756864	17.018516	18.031149	18.960434	20.058694	0.256745	0.506999	1.000818	1.923836	3.545716	7.285615	16.58836	19.815853	22.184609	1.845413	2.517068	4.078713	4.962627	5.593166	6.212165	6.74896	7.478192	0.216529	0.298973	0.514595	0.634558	0.733016	0.828917	0.908064	1.02428	-11.847055	2.371899	
30120000	11	-1.9512040377	5.0715873043	96.5171631016	0.9592817334	3.2858391502	26.0099457674	6.294389	7.808976	9.511899	11.798487	16.252977	18.164917	19.408099	20.626357	21.343986	22.390498	6.175703	7.58833	9.652879	13.778409	15.69547	16.918503	18.123609	18.904018	19.956486	0.261516	0.5174	1.015242	1.946751	3.631758	7.350462	16.698471	19.838056	22.117063	1.905133	2.563398	4.199273	5.043592	5.714194	6.30694	6.861357	7.563777	0.221642	0.307063	0.527261	0.652577	0.751556	0.846081	0.924844	1.042329	-12.057198	2.380163	
30160000	11	-2.0149397998	5.0347774465	104.0091718635	1.1621014812	3.189301609	26.2822987391	6.556611	8.151719	9.775561	12.06099	16.465668	18.288802	19.548863	20.536787	21.477371	22.476301	6.315609	7.733658	9.76438	13.910631	15.638043	16.878815	17.961337	18.857612	19.895438	0.248788	0.493659	0.97132	1.869676	3.45945	7.125947	16.470328	19.659485	22.200426	1.892398	2.448195	4.101472	4.963699	5.575025	6.134327	6.621296	7.293728	0.224008	0.299426	0.511082	0.62789	0.72012	0.805933	0.881974	1.002677	-12.306584	2.377386	
30200000	11	-1.9942811574	4.9921410391	100.3108999533	0.0534596175	3.2961189812	25.9505005775	6.524575	8.057467	9.850863	12.146235	16.554742	18.393024	19.568797	20.594753	21.390446	22.454301	6.314647	7.828127	9.882657	13.903572	15.871992	17.013843	18.082179	18.856742	19.931504	0.256248	0.503888	0.985508	1.898572	3.518528	7.239014	16.572594	19.638114	22.21363	1.899169	2.566601	4.140131	4.991117	5.651106	6.225413	6.68389	7.377783	0.22509	0.307697	0.518233	0.638071	0.734049	0.818556	0.898939	1.016709	-12.15278	2.386952	
30240000	11	-2.0501316783	5.1025239514	106.3100888519	0.7872739743	3.1159925066	26.7698720866	6.48435	7.999397	9.679638	11.926524	16.335448	18.246718	19.507898	20.653844	21.630248	22.632958	6.28874	7.730681	9.688205	13.811402	15.637908	17.001299	18.07171	19.008948	20.054923	0.250029	0.494845	0.944093	1.890258	3.471557	7.15085	16.620103	19.753086	22.331554	1.915158	2.58852	4.163733	4.949469	5.603271	6.14158	6.699913	7.311096	0.226762	0.308292	0.52333	0.637324	0.727202	0.814557	0.893652	0.99638	-12.090424	2.344804	
30280000	11	-1.8908532285	5.0953497748	98.4243443819	1.3373943616	2.9326588687	26.7214660332	6.659536	8.115255	9.843841	11.846215	16.23203	18.139975	19.295255	20.48528	21.318038	22.606576	6.289188	7.706758	9.644343	13.692219	15.600456	16.822338	17.989745	18.873811	20.086896	0.260211	0.518531	1.01644	1.939642	3.599866	7.34305	16.581379	19.899769	22.344651	1.850853	2.46773	4.106336	4.898542	5.631093	6.200985	6.785272	7.546577	0.217215	0.29978	0.513753	0.634518	0.733778	0.833943	0.915133	1.041357	-12.216025	2.385278	
30320000	11	-2.0051985238	4.9576054072	98.8978437741	0.0429722118	3.328649007	25.4214425338	6.586006	8.153631	9.881758	12.128163	16.588183	18.171172	19.433403	20.340784	21.212946	22.186037	6.347946	7.88755	9.876271	13.96062	15.694184	16.861252	17.946985	18.626709	19.599448	0.254443	0.498134	0.983891	1.885403	3.494339	7.154475	16.327154	19.325533	21.869818	1.911445	2.550159	4.151977	4.997262	5.621398	6.201812	6.699893	7.306546	0.223175	0.305934	0.511812	0.633726	0.735498	0.819194	0.898436	1.011584	-12.314847	2.386048	
30360000	11	-1.9845272016	4.9850635926	101.5080009302	0.30967655	3.2919552787	25.8907833653	6.458491	8.106108	9.815115	12.09313	16.383582	18.274949	19.567561	20.614846	21.319249	22.217928	6.253765	7.760306	9.810142	13.991346	15.647825	16.983172	17.881605	18.772632	19.905321	0.250474	0.49366	0.975931	1.851462	3.450015	7.112485	16.453115	19.499161	22.157192	1.88493	2.510904	4.086552	4.942217	5.544264	6.143978	6.638662	7.283293	0.218513	0.29721	0.509184	0.625716	0.720379	0.809458	0.889423	1.001949	-11.774126	2.353401	
30400000	11	-1.9808293429	5.0226650111	98.1879056693	0.2509115527	3.2709049326	25.6791328734	6.418358	7.967227	9.740065	11.966101	16.25139	18.218767	19.346803	20.323476	21.24901	22.180303	6.232618	7.752673	9.635099	13.726509	15.655112	16.835845	17.850993	18.672536	19.740036	0.256594	0.510969	0.991157	1.901369	3.533985	7.270677	16.409175	19.462039	21.863075	1.905444	2.544045	4.152757	4.969608	5.604455	6.215104	6.717113	7.380177	0.225123	0.306919	0.521909	0.641081	0.735756	0.825892	0.913795	1.017685	-11.70808	2.384066	
