State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	chiSquared	
17340000	5	-4.179990462	2.4575325243	65.3234234662	2.4899392268	1.0874390943	129.3457926291	19.090571	16.04334	14.127813	29.557172	25.532619	22.621249	38.914651	33.843251	30.448748	48.220032	42.53435	60.457993	54.143413	49.584508	75.021824	69.378721	64.742142	100.530329	96.200431	92.497063	-11.26816	4.513485	
17350000	5	-4.1717124688	4.0341833636	63.2963780077	2.5010097876	0.6965726925	127.8895144055	19.24972	16.275711	14.198759	29.584178	25.505765	22.571405	39.098396	34.333509	30.601168	48.351249	42.474209	60.16792	54.139371	49.849082	74.791213	68.672708	63.882296	99.550723	95.708613	91.376473	-11.866904	4.571006	
17360000	5	-4.0686052757	3.5811791572	59.0508866708	2.8698684071	0.9130606273	124.0855592936	19.879236	16.639559	14.550502	30.590092	26.195537	23.167838	39.868647	34.72576	30.956421	49.143771	42.968529	60.635306	54.506496	50.076667	74.955757	68.660772	64.468691	98.526598	94.515232	90.952891	-11.560382	4.593148	
17370000	5	-4.1203568107	3.5257090726	71.5075208453	2.8131659197	1.6882733326	131.9065995757	18.869722	15.960605	13.827249	29.385979	25.130897	22.117007	39.201421	33.854663	29.866109	48.260003	42.139901	60.543152	54.208684	49.234277	75.271408	69.49875	64.917936	101.682322	96.74272	93.326837	-11.747365	4.569123	
17380000	5	-4.2394549269	1.9576531486	68.3156356734	2.6584256276	1.5809849552	127.3723216511	19.118054	16.358683	14.409831	29.940728	25.643838	22.737899	39.144666	34.424235	30.91017	48.083918	42.85408	60.071985	54.398338	49.958731	74.306429	69.156845	64.645684	99.720113	95.818372	91.992521	-11.447526	4.576039	
17390000	5	-4.1405183546	2.1446497934	72.7733986741	3.0054834146	2.6024832129	128.5987953139	18.998411	16.024265	13.793579	29.203699	25.102135	22.126804	38.866252	33.867127	30.009643	48.06149	42.266937	60.074951	53.862571	49.01374	74.807062	68.569323	64.138156	99.728502	95.531165	91.522544	-11.550766	4.567746	
17400000	5	-3.9006824253	3.3190241247	56.2584281496	2.8651849764	0.0192246557	128.1404010738	19.631521	16.389911	13.826645	30.315276	25.590398	22.303758	40.02526	34.417616	30.072846	49.242759	42.502996	61.649478	54.393056	49.09076	75.761902	69.248491	63.945907	100.849919	95.532106	91.602725	-11.380526	4.549258	
17410000	5	-4.006858226	3.1725698196	59.0273723707	2.6886200664	0.4922468051	128.0935676737	19.338763	16.091853	14.095972	29.930604	25.691818	22.352299	39.64075	34.059097	30.362338	48.733994	42.283509	60.30876	54.124449	49.18145	75.587204	69.207337	64.076634	100.292431	95.669918	91.623103	-11.320325	4.577476	
17420000	5	-3.9270662873	2.7290528408	59.4061404296	2.9315053519	0.2185453409	128.0789033101	19.452891	16.118175	13.764317	30.154998	25.523121	22.05631	39.839577	33.953518	29.571077	49.010776	42.43697	61.148397	53.74381	49.253738	75.896439	69.032715	63.76303	100.47759	95.655154	91.334476	-11.281645	4.560958	
17430000	5	-3.9242773096	2.1440604318	64.7199005782	3.4455899089	0.8498600643	128.4569599021	19.795946	16.440668	13.996874	30.629919	25.763162	22.444474	40.320089	34.618956	30.091707	49.278475	42.638815	61.402861	54.28247	49.118762	76.579471	69.314977	64.536484	100.780362	96.453864	91.640074	-11.538504	4.545164	
17440000	5	-3.8291759222	3.2873059698	64.6779033846	3.7107150455	2.2631020687	127.6215469817	19.640236	16.105859	13.566964	30.395493	25.108472	22.040553	39.651782	33.948088	29.652537	48.730471	42.102257	61.079054	53.308199	47.691932	75.615925	68.276211	62.884325	100.263581	95.121305	90.295327	-11.721951	4.599087	
17450000	5	-3.854161589	2.7577586905	65.94465752	4.1310288035	3.1902346603	126.8971099784	19.99806	16.323666	13.990621	30.928196	25.752363	22.279511	40.041088	34.483454	30.043118	49.58179	42.95712	61.462113	54.298259	48.997654	75.965344	69.009329	64.037604	99.76075	95.189055	90.717404	-11.707729	4.573746	
17460000	5	-3.8219880361	3.1485812541	69.2693624964	5.0464787486	0.5061305299	126.2549237356	19.99467	16.457423	13.985284	30.763156	25.710714	22.409938	40.597907	34.344209	29.992456	49.643698	43.115325	61.769671	53.949196	49.0833	76.219777	69.000524	63.625694	100.039661	94.985349	90.985159	-12.067953	4.619902	
17470000	5	-3.8346691321	2.097807825	69.661887432	4.9235751051	1.1384290479	125.6564639965	19.966106	16.425615	13.949159	30.82885	25.532012	22.075993	40.493553	33.977451	30.179418	49.286721	42.67502	61.476079	54.089337	48.958884	75.436969	68.749952	63.395917	100.089997	94.312426	90.787121	-11.968941	4.466129	
17480000	5	-3.808088536	2.335170232	67.0742784031	5.2558522824	1.9262724214	123.3730469662	20.224711	16.560461	14.091027	31.021728	25.98187	22.470974	40.461955	34.512635	29.921444	49.555507	42.341639	61.291397	54.273218	48.386814	75.376842	68.120412	62.923657	98.570706	94.616084	89.675427	-11.957971	4.577419	
