State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	logPrior	rho
4039	12	-4.955046969	4.5281864124	0.1114745802	0.4018355586	3.1809864875	27.7974659443	13.389653	15.191415	16.575848	17.898156	21.574798	22.636695	23.624493	24.209555	24.692863	12.504891	13.11552	13.462428	13.777364	13.982036	-17.82331	0.696253
4040	12	-4.3607007721	4.5657745307	2.7728190528	0.3906867158	3.0357136048	28.51065102	13.483876	15.372395	16.603278	17.841224	21.543886	22.777057	23.903655	24.559415	25.432965	12.038887	12.522694	13.003503	13.29742	13.597039	-14.101438	0.701859
4041	12	-5.7726483906	4.5759154755	0.6654533785	0.3568013809	3.2314674036	28.736280569	13.153022	15.171029	16.62302	17.96127	21.775902	22.996606	24.000604	24.739065	25.54678	12.277767	12.684623	13.031312	13.222359	13.420057	-17.755163	0.699024
4042	12	-4.1284264432	4.6251314136	1.3470013816	0.3922094182	3.2270150676	28.8380543936	12.689509	14.669905	16.104037	17.64589	21.563326	22.983069	24.148752	24.761537	25.538458	11.92041	12.664823	13.133999	13.515897	13.710974	-13.907229	0.695953
4043	12	-5.8962971293	4.5974272383	3.9096537542	0.3754561226	3.1974555744	29.1956100082	13.356491	15.338131	16.790501	18.042953	21.928792	23.299641	24.301531	24.924731	25.765628	12.389727	12.784857	13.156602	13.418211	13.574615	-17.261463	0.697039
4044	12	-5.281225353	4.8076019531	15.7483869766	0.4570703716	2.6256105393	30.368274125	13.244805	15.243779	16.33784	17.632485	21.166966	22.733434	23.978456	24.824533	25.66718	12.145608	12.746	13.185339	13.465774	13.80392	-15.790901	0.698724
4045	12	-6.2984897337	4.7856745457	12.8815228589	0.4247981734	2.7254405022	30.612487793	13.445766	15.30042	16.388268	17.752088	21.547588	22.913616	24.186878	25.119353	25.99926	12.329703	12.804734	13.194925	13.520578	13.78367	-18.18563	0.692963
4046	12	-4.8414349658	4.7470730561	10.5109686617	0.428682398	2.7347846609	30.0773772298	13.5295	15.208785	16.521685	17.627738	21.532447	22.776509	23.915684	24.848514	25.746867	12.157326	12.723404	13.20091	13.466102	13.836043	-14.802184	0.693669
4047	12	-4.684457701	4.7704698389	10.9940416308	0.4375910043	2.5397030202	30.1466402567	13.674835	15.276085	16.531091	17.671682	21.153711	22.65644	23.810623	24.736448	25.544959	12.101919	12.691349	13.154884	13.526633	13.765298	-14.485315	0.702487
4048	12	-4.4833378075	4.6552474227	0.6659235739	0.3898963962	3.0250274887	28.7141507361	12.990844	14.861145	16.220799	17.497213	21.421225	22.674177	23.910513	24.414174	25.297291	12.139365	12.726133	13.258765	13.497123	13.826033	-14.946409	0.669317
4049	12	-5.1590282534	4.6187215573	0.6096057616	0.3790649042	3.1863685664	28.9294589553	13.012754	15.110853	16.418613	17.793716	21.645895	22.921714	24.237301	24.823164	25.607099	12.364725	12.977441	13.354049	13.641527	13.744494	-16.393064	0.692727
4050	12	-4.2899303795	4.5564934825	0.0965039655	0.4105061807	3.3357640108	28.0234552685	12.805857	14.803859	16.266301	17.665341	21.583663	23.005625	23.87616	24.494763	25.157032	12.375784	12.991267	13.522341	13.801133	14.132697	-16.707843	0.682866
4051	12	-4.7527989274	4.6725611804	1.1170972126	0.3730810675	3.0995086575	29.3554128923	12.983826	14.883154	16.271961	17.549793	21.533345	22.927289	24.195971	24.941186	25.772368	12.141313	12.596902	13.067269	13.469603	13.624621	-15.102217	0.697265
4052	12	-5.5542175025	4.6489070328	1.0630514333	0.379077083	3.0404856844	28.5534112822	13.148702	14.983154	16.437903	17.646218	21.318134	22.742648	23.802092	24.383786	24.964101	12.317881	12.683548	13.173321	13.516183	13.663671	-16.880894	0.655558
4053	12	-4.5933922133	4.532740345	0.867813931	0.3792645325	3.3687727619	28.3321543813	12.880882	15.147592	16.459864	17.796611	21.907611	23.061136	24.058064	24.62117	25.345361	12.133622	12.674909	13.119916	13.385331	13.606465	-15.089651	0.68033
4054	12	-5.1882590339	4.6229897892	1.1163272952	0.3896173889	3.1264383054	28.8789742274	13.213132	15.066715	16.44271	17.792875	21.666683	22.98838	23.99808	24.839396	25.33675	12.521408	12.986426	13.39464	13.665307	13.970267	-16.061566	0.648116
4055	12	-6.5055001034	4.5469293846	1.2682714573	0.3660829354	3.2090095838	28.0349644407	13.377942	15.315617	16.653265	17.942878	21.387591	22.692813	23.596639	24.153765	25.068474	12.348486	12.744273	13.025711	13.246285	13.440043	-19.268709	0.697668
4056	12	-4.1252580801	4.5171949658	1.3103743817	0.394445261	3.2283758117	27.9264380491	13.320316	15.123324	16.453673	17.936983	21.377365	22.56682	23.745378	24.186	24.875457	11.961451	12.565029	13.11915	13.465164	13.602096	-14.033571	0.694281
4057	12	-4.9264499228	4.5746448089	0.6135748724	0.3820609675	3.1461666367	28.0026927781	13.157007	15.046463	16.347858	17.68876	21.336462	22.487875	23.53653	24.328756	24.697061	12.276191	12.674327	13.135648	13.471337	13.615333	-15.953954	0.697428
4058	12	-4.5141170775	4.675350671	3.1502395853	0.4045402532	2.9824471427	29.2290437024	13.158132	14.883203	16.401556	17.580991	21.474746	22.827931	23.965874	24.885869	25.586681	12.231842	12.800199	13.332327	13.636174	13.956231	-14.252518	0.69851
4059	12	-4.4865220288	4.6631111916	0.1370959461	0.3882989248	2.9866840459	28.63031054	13.06518	14.875441	16.207958	17.630895	21.228883	22.631447	23.544946	24.491667	25.451143	12.138115	12.766932	13.218418	13.518239	13.805086	-16.493259	0.70082
4060	12	-3.9691877162	4.4994301914	2.4274544453	0.4027344453	3.2347500663	28.4073920708	13.451785	15.243443	16.68487	18.082929	21.748243	23.04776	24.037604	24.73109	25.508707	11.971235	12.624661	13.136288	13.550111	13.891381	-13.537132	0.698858
4061	12	-4.4568556907	4.6287528252	0.4331546189	0.3892335868	2.9046595409	28.6449799507	13.456768	15.299292	16.495679	17.734769	21.13361	22.608915	23.75338	24.51723	25.168414	12.143233	12.789823	13.130976	13.522115	13.802732	-15.263163	0.685811
4062	12	-4.2695651435	4.5457679273	3.5347763959	0.4316720173	3.2481970165	28.1135912774	13.203342	15.001021	16.40208	17.842643	21.583061	22.805409	23.80187	24.445828	25.305495	12.394176	12.916928	13.521595	13.819596	14.140314	-13.931524	0.697474
4063	12	-4.9690029183	4.6538230868	10.1462301944	0.4456881932	2.9886759763	28.535157596	13.234962	15.069072	16.391781	17.603809	21.536197	22.496382	23.610982	24.353862	25.093603	12.298621	12.803992	13.365916	13.532156	13.810331	-15.158374	0.701453
4064	12	-5.1978388277	4.6830651522	23.5232680958	0.5028748643	3.1669429669	30.0978537832	13.034209	14.753619	16.269705	17.874723	21.988784	23.509922	24.679514	25.520942	26.149775	12.190847	12.748609	13.195698	13.520492	13.770061	-15.882997	0.698467
4065	12	-4.5382163719	4.7246992031	27.9187675679	0.6421601515	2.9071473023	29.0191788389	13.013216	14.683427	16.029525	17.3151	21.181754	22.604489	23.746948	24.505074	25.429077	12.259649	12.912672	13.297558	13.722236	13.996759	-14.686417	0.685794
4066	12	-4.3012348532	4.6654774104	30.6002585434	0.6938677454	2.8035094152	29.1308132679	13.645344	15.281784	16.464002	17.700202	21.411492	22.807999	23.939243	24.758507	25.664471	12.290124	12.919756	13.419203	13.778693	14.066261	-14.37913	0.68169
4067	12	-5.8237779698	4.6621060169	27.3550028109	0.5583515547	2.827088049	29.5127206415	13.913822	15.455724	16.722913	17.944109	21.646959	22.909019	24.132619	24.809721	25.78118	12.344134	12.914873	13.276679	13.561943	13.737824	-17.44406	0.690772
4068	12	-4.6827825425	4.7002126806	39.1911155484	0.786721237	2.8908724604	29.4151275436	13.17403	14.930883	16.344841	17.663201	21.367096	22.82882	23.921262	24.705268	25.497159	12.192408	12.721453	13.275132	13.610785	13.900234	-15.255477	0.671187
4069	12	-5.2295107808	4.7025730032	42.4081637555	0.8775944781	2.8166795525	28.9751863363	13.306602	15.171801	16.424753	17.579532	21.177662	22.577435	23.835882	24.420754	25.419473	12.329532	12.840356	13.261647	13.56126	13.862773	-16.489309	0.700907
4070	12	-6.6875460967	4.6524126345	49.6530938931	1.0814337155	2.8593548211	28.9654897983	13.687645	15.571203	16.634668	17.914152	21.552659	22.771979	23.796853	24.5337	25.32357	12.479323	12.975007	13.320539	13.654863	13.818823	-20.372434	0.689316
4071	12	-5.0405886979	4.6528340012	55.0215420259	1.1510210995	3.0138118728	28.645526204	13.171265	15.006336	16.215149	17.596947	21.274009	22.495329	23.834439	24.568102	25.09113	11.951804	12.505245	12.89013	13.143526	13.344704	-16.464897	0.695278
4072	12	-4.6381790645	4.6273398334	62.8536970015	1.5762304583	3.2177829708	29.3233048271	12.991978	14.945967	16.378163	17.828631	21.932772	23.163081	24.292768	25.102982	25.620928	11.948757	12.512435	12.963171	13.396679	13.443392	-15.992033	0.697024
4073	12	-3.8648083008	4.5575389623	63.2353408089	2.7576812887	3.22238458	28.6050591885	13.112825	14.938428	16.403672	17.747711	21.610041	23.024126	24.001174	24.75676	25.377403	11.804142	12.580853	13.113349	13.421385	13.806525	-15.198734	0.657693
4074	12	-4.1234081327	4.6603416731	59.7831646329	2.240745029	2.8955153026	29.035654814	13.407971	15.15372	16.465039	17.666656	21.455457	22.728248	23.830571	24.757775	25.501178	12.132984	12.773908	13.288526	13.624149	13.974974	-15.28711	0.694777
4075	12	-4.5727349965	4.5033662199	68.7537484778	10.5004098439	3.3589958373	27.9225998762	13.102332	15.211389	16.52078	17.935798	21.628226	22.948909	23.928205	24.714124	25.066633	12.398797	12.887193	13.266683	13.58966	13.901706	-18.26164	0.669917
4076	12	-4.2600722684	4.6423354382	70.3898327163	20.962562567	3.2659929222	28.7024698089	12.574024	14.430166	14.334997	17.418988	21.578101	22.815922	23.958062	24.741273	25.413321	12.298955	12.896689	13.376536	13.727344	14.040133	-18.713675	0.634733
4077	12	-4.4204941404	4.4818866589	53.5406616251	1.567628241	3.3862643513	27.8520135761	13.130739	15.126908	16.58564	17.960679	21.697893	22.889608	23.835817	24.407265	25.022245	12.19278	12.86671	13.206163	13.597673	13.75856	-15.624183	0.667334
