State	Model	DGPost	GDagSlide	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	logPrior	chiSquared	
3400000	12	-4.7056531819	4.6363681185	4.0325352689	0.3782405671	3.1739830895	29.0027815956	12.888471	14.91366	16.314087	17.520846	21.438738	22.98582	24.12442	24.61577	25.673745	11.916794	12.476464	12.887972	13.169131	13.44227	-14.59633	0.703304	
3500000	12	-4.578226999	4.6311153749	3.134839841	0.3917085349	3.2277210993	28.8287750571	12.811534	14.761035	16.137716	17.428234	21.460435	22.946477	24.076068	24.815179	25.454213	12.090738	12.766285	13.204367	13.485786	13.749738	-14.410773	0.654937	
3600000	12	-4.5232203945	4.6514573649	17.9919458256	0.4910002901	2.7382444202	29.4843705754	13.844993	15.52224	16.701022	17.894142	21.528893	22.87957	24.106858	24.820674	25.63203	12.050613	12.676939	13.263989	13.494291	13.744176	-14.44024	0.703143	
3700000	12	-3.8736977555	4.4607963791	52.7686842751	1.4692080754	3.3801974331	27.9425682366	13.147254	15.170804	16.514807	17.807779	21.866326	22.917762	23.779478	24.501774	25.160797	11.794079	12.522239	12.946395	13.373438	13.752093	-14.642811	0.695973	
3800000	11	-5.1186384078	4.6486046774	80.2002234291	0.1308153432	2.9822529692	28.9687138316	13.33596	15.086674	16.618029	17.71769	21.408021	22.767917	23.906345	24.72894	25.39199	12.095439	12.674079	12.947359	13.184751	13.532254	-16.438917	0.690033	
3900000	11	-4.369078032	4.5733000624	72.6051770316	0.64602285	3.161256982	28.446570121	13.281368	15.112377	16.560658	17.854111	21.604322	22.772073	23.763928	24.543794	25.211843	12.178224	12.831373	13.214607	13.673431	13.936574	-15.122232	0.692247	
4000000	11	-4.3141537485	4.5376512809	70.7608457976	0.0027011266	3.2089157678	28.1394710721	13.166021	15.19615	16.577684	17.73138	21.606061	22.745783	23.835302	24.391697	25.092181	12.317654	12.865169	13.455508	13.609168	13.932376	-18.699449	0.703686	
4100000	12	-3.9206852086	4.5684307359	56.5531671891	1.8823561928	3.1082106286	28.3460787092	13.284184	14.96504	16.370682	17.70523	21.291902	22.70202	23.698206	24.502702	25.215848	11.880389	12.55848	13.150571	13.473598	13.906805	-14.847494	0.685834	
4200000	12	-4.0869601757	4.7540199974	53.0827201828	1.5114932412	2.69333097	29.7601582662	13.242852	14.944782	16.222826	17.405315	21.292134	22.778751	24.083211	24.697223	25.646571	12.212054	12.785795	13.392595	13.979209	14.152422	-14.726562	0.704962	
4300000	12	-4.5241691796	4.545955233	60.2118542404	1.5630410518	3.261643458	28.6475736443	13.140896	15.218338	16.448795	17.946212	21.679715	22.890765	24.25379	24.698842	25.46396	11.938647	12.498575	12.942528	13.199659	13.623922	-15.821553	0.700063	
4400000	11	-4.8547149548	4.5194012231	76.1932421175	0.0931653965	3.3742842927	28.6280163023	13.326229	15.237988	16.660316	18.12473	21.916648	23.334699	24.421648	25.27276	25.758768	12.389229	12.860139	13.204493	13.511356	13.692723	-16.073935	0.693983	
4500000	11	-4.618526594	4.5663343702	70.9591357695	0.3188457152	3.1566204817	28.1379476725	13.344677	14.938918	16.453543	17.827084	21.412794	22.68552	23.747098	24.312696	25.28574	12.469232	12.98283	13.454238	13.722605	13.942623	-15.382279	0.678582	
4600000	11	-5.9879960654	4.7328779696	80.1698240748	1.4986074173	2.9904338256	29.7138129464	13.000393	14.893476	16.268639	17.673896	21.57302	22.984538	24.339783	24.991848	25.84441	12.358606	12.969615	13.401867	13.581943	13.910817	-19.033322	0.684789	
4700000	11	-4.9323803527	4.6340399319	72.5681743479	0.326327006	3.0329290443	28.6655612186	13.26147	15.121886	16.543416	17.649403	21.554723	22.851228	23.871542	24.628772	25.407028	12.541044	13.027333	13.547654	13.726719	14.054892	-15.956506	0.702635	
4800000	11	-4.9613324051	4.5432072535	72.2778909924	0.2671109602	3.248068114	28.0244399997	13.194786	15.137387	16.597594	17.817313	21.460613	22.696169	23.766197	24.475602	25.097272	12.493512	12.937874	13.287309	13.55918	13.744251	-16.085989	0.703196	
4900000	11	-4.3117880852	4.6945797795	69.9104168074	0.2618078156	2.7877180129	28.8831483444	13.434555	15.111328	16.396862	17.522771	21.238161	22.587194	23.696322	24.486509	25.199296	12.319332	12.976275	13.403243	13.756288	14.202023	-14.654119	0.696169	
5000000	11	-4.3954538889	4.7663052277	76.1075646633	0.1252444261	2.7192818184	29.4985289525	13.19911	14.907578	16.055763	17.213072	21.022294	22.479588	23.638503	24.483557	25.302741	12.06089	12.597772	13.018744	13.607529	13.880464	-14.870942	0.704329	
5100000	12	-4.2344189033	4.5387988246	14.0487657077	0.4684217367	3.3497786866	28.4192749946	12.964154	14.870734	16.411063	17.608658	21.74991	22.952067	23.992146	24.849567	25.254145	12.027555	12.564969	13.148567	13.466019	13.776518	-13.943879	0.688035	
5200000	12	-4.6970668241	4.5303647672	5.6828165644	0.4213840803	3.315864806	27.675538998	13.1172	15.051273	16.472417	17.50494	21.308417	22.616695	23.497344	24.19866	24.796668	12.252798	12.841003	13.2313	13.543494	13.688466	-14.691956	0.690209	
5300000	12	-4.0906077178	4.6290464702	1.8418452732	0.4152054088	2.965683744	29.049889817	13.465124	15.11289	16.498854	17.845234	21.667416	22.993493	23.950126	24.713109	25.685411	12.186125	12.841634	13.410993	13.839052	14.144245	-13.710366	0.685155	
5400000	12	-4.1616485115	4.6471414039	8.0252036037	0.4432188154	2.9671890985	28.7279900129	13.212081	14.9452	16.288416	17.618046	21.29635	22.616591	23.75859	24.65203	25.303849	12.009484	12.680204	13.252079	13.589381	13.835833	-13.599897	0.691517	
5500000	12	-4.8014106125	4.5288561353	3.2732536188	0.4124614896	3.2580964278	27.7821440766	13.216419	15.106199	16.535413	17.711669	21.516664	22.656057	23.537306	24.119587	24.787753	12.527299	12.924836	13.31362	13.607397	13.868423	-14.960948	0.690984	
5600000	12	-4.6812350296	4.5780519093	0.4495949391	0.3980495079	3.1415436403	28.1932107284	13.195549	15.165337	16.456497	17.696293	21.535892	22.7703	23.612765	24.436552	25.246837	12.451546	12.886893	13.375006	13.65394	13.963353	-15.716235	0.692758	
5700000	12	-4.5320505763	4.5026250287	3.2569454924	0.4016868305	3.2153886636	27.6831958566	13.504709	15.281954	16.721472	17.834445	21.478536	22.593769	23.760482	24.119342	24.683145	12.150071	12.626185	13.065905	13.383076	13.658203	-14.46128	0.699752	
5800000	12	-4.1798477682	4.6032596034	28.096551221	0.5830416871	3.2644223584	28.7861767636	12.827834	14.735535	16.211255	17.733626	21.675662	23.05911	24.298362	24.812571	25.439067	11.839716	12.383205	12.939525	13.279704	13.58293	-14.110551	0.693971	
5900000	12	-5.6091495162	4.5576053523	9.364060554	0.4304524752	3.0499741001	28.4869858245	13.77007	15.564174	16.876373	18.0808	21.654974	22.89545	23.874901	24.444099	25.249703	12.4564	12.917746	13.249156	13.482314	13.857919	-16.63911	0.703391	
6000000	12	-3.8452114753	4.6111728051	39.0774300731	0.8324083948	2.9647004536	28.9768871207	13.350642	15.203183	16.354132	17.66507	21.583436	22.70967	23.938363	24.446591	25.491217	11.822714	12.485023	13.170006	13.624339	13.883129	-13.879524	0.704881	
6100000	12	-5.1527593552	4.6106641889	54.2143575065	1.063399548	3.23618066	29.2241689951	13.020021	15.081759	16.40809	17.727285	21.760536	23.232498	24.294313	25.046899	25.755239	12.126855	12.641065	13.070306	13.325186	13.540001	-16.675942	0.664121	
6200000	11	-4.2872497214	4.5837738082	79.5856916942	2.517434195	3.1017747914	28.3230867655	13.253551	14.858686	14.730455	17.576756	21.173089	22.718291	23.563495	24.198669	24.976308	11.603242	12.082053	12.665389	13.035144	13.296227	-15.982151	0.586543	
6300000	11	-4.4770153087	4.6612775364	75.4437766394	0.4002533554	3.088368189	29.3079119128	13.10133	14.88485	16.327308	17.700103	21.686685	23.178396	24.475631	25.009332	26.080574	12.307283	12.804244	13.376898	13.774443	13.928927	-15.10433	0.700784	
6400000	11	-4.8642881685	4.7043837251	75.9875906274	0.0131151584	2.8460832209	29.3019736882	13.324293	15.038516	16.285778	17.74582	21.520277	22.753969	24.059571	24.724651	25.518714	12.274259	12.892156	13.251042	13.561941	13.996268	-17.358812	0.638416	
6500000	11	-4.8193153693	4.5518185029	76.4119809309	0.0499688509	3.3645707598	28.5020140491	12.968467	15.120411	16.380811	17.790566	21.772469	22.946277	23.907817	24.727657	25.467026	12.248469	12.719351	13.151985	13.367846	13.708238	-16.267357	0.679564	
6600000	12	-4.7648436047	4.701143597	62.9561491361	2.3363138978	2.9405513974	29.6822842196	13.168165	14.957483	16.22133	17.787779	21.619024	23.043372	24.234235	25.136252	25.739034	12.535428	13.028035	13.473615	13.752894	14.154201	-16.509865	0.677158	
