State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	logPrior	rho
0	12	-1.9893698639	5.0330703858	2.8983699668	0.2714161475	3.1956727863	25.8529850154	6.53063	8.039898	9.721186	11.943177	16.309261	18.131097	19.375062	20.39244	21.195627	22.183705	6.276141	7.819515	9.759878	13.866268	15.627086	16.8915	17.904435	18.739599	19.768785	0.259338	0.515574	0.999926	1.931495	3.548575	7.324137	16.595795	19.566579	22.147013	1.91562	2.583467	4.1942	5.069863	5.702964	6.2512	6.7362	7.456643	0.225535	0.306828	0.526029	0.651207	0.749508	0.840108	0.913153	1.0357	-7.824455	2.347746
50000	12	-1.9697133594	5.0947451319	0.5576307027	0.2635924125	3.0730428613	26.7525324924	6.537977	8.005887	9.670415	11.837145	16.407553	18.104761	19.468815	20.623076	21.500289	22.789426	6.32924	7.752045	9.735872	13.874751	15.612826	16.883736	18.057984	18.976974	20.190071	0.257885	0.501703	0.994262	1.915288	3.538375	7.291933	16.701296	19.772385	22.288487	1.875766	2.52672	4.196311	5.018628	5.625201	6.252906	6.737602	7.45331	0.223414	0.301318	0.515438	0.641397	0.73742	0.834921	0.905812	1.027799	-8.61079	2.367406
100000	12	-1.9364530917	4.9485041936	73.1843066269	1.2031665288	3.3616099208	25.4658971634	6.553847	8.10131	9.887947	12.121134	16.539751	18.360649	19.621539	20.58198	21.216875	22.196729	6.325514	7.809721	9.891627	13.967715	15.704816	17.026776	18.064821	18.782795	19.850084	0.260934	0.521065	1.01499	1.956602	3.606142	7.382604	16.645054	19.53846	22.0079	1.918685	2.579546	4.159873	5.020969	5.730458	6.295903	6.807425	7.548819	0.224045	0.304961	0.523099	0.643531	0.746257	0.840954	0.924787	1.048049	-9.260321	2.381261
150000	12	-2.0218315649	5.0353995572	89.5392910106	2.1089355658	3.1450955681	26.0767858791	6.66645	8.237555	9.818661	12.004955	16.247942	18.258954	19.328755	20.435982	21.29876	22.338608	6.427539	7.775425	9.836887	13.805237	15.625406	16.990315	17.806342	18.782618	19.842758	0.252892	0.498735	0.978701	1.891692	3.472818	7.198607	16.45959	19.654531	22.076104	1.959228	2.539062	4.150534	4.964834	5.617125	6.213058	6.730427	7.387216	0.226794	0.310861	0.522122	0.643871	0.735803	0.818548	0.894572	1.015702	-9.873954	2.347529
200000	12	-1.9937100932	5.0461689715	86.3788311683	1.7646270558	3.2200989279	26.02378509	6.428475	7.931414	9.743957	11.914751	16.354762	18.150794	19.460079	20.448981	21.265262	22.302728	6.289067	7.68567	9.786007	13.908262	15.582393	16.737459	17.999825	18.626499	19.750977	0.253183	0.499056	0.984156	1.876492	3.484661	7.209618	16.45302	19.541041	22.058467	1.893842	2.513987	4.122808	4.962106	5.605401	6.129815	6.763585	7.372787	0.223128	0.30509	0.517521	0.631452	0.730732	0.810573	0.900107	1.008606	-9.662967	2.381496
250000	12	-2.1359025155	5.0241150335	91.6798664647	1.7448207601	3.3400017428	25.8812158247	6.416673	8.046829	9.712106	11.959425	16.455225	18.243112	19.476684	20.364713	21.317958	22.155763	6.314336	7.853299	9.814386	13.91286	15.721223	17.067739	17.919093	18.738698	19.698478	0.242995	0.486391	0.959665	1.841104	3.399141	7.05026	16.375176	19.54559	22.01389	1.997433	2.639474	4.222987	5.02115	5.611462	6.129428	6.524052	7.163564	0.234732	0.317829	0.522137	0.63281	0.724002	0.808612	0.886223	0.980699	-9.840697	2.330677
300000	12	-1.9068691615	5.0343225043	83.2235560805	2.0342713986	3.2551758934	25.6827830029	6.385574	7.771599	9.566678	11.851947	16.163918	17.967814	19.286218	20.40876	21.214007	22.354477	6.158065	7.585356	9.666691	13.768865	15.543507	16.896889	17.928814	18.651158	19.845121	0.257452	0.511146	1.001392	1.931653	3.547915	7.315413	16.450112	19.621048	21.909062	1.838022	2.459511	4.100052	4.895143	5.60621	6.206529	6.784436	7.449187	0.214828	0.298447	0.502815	0.633235	0.740939	0.822731	0.916126	1.022911	-9.695821	2.346427
350000	12	-2.0848527955	4.9838233521	72.8801546642	0.8900437201	3.2818004969	25.7123323381	6.643936	8.201673	9.954292	12.177906	16.569213	18.287723	19.511689	20.554885	21.230797	22.180265	6.481576	7.930235	9.970788	13.98424	15.721535	17.00823	18.03568	18.8387	19.779409	0.251634	0.49987	0.97789	1.8796	3.508734	7.180099	16.314921	19.534648	22.032425	1.985669	2.630799	4.230257	5.087383	5.658574	6.202311	6.691345	7.339192	0.231936	0.318119	0.533738	0.648705	0.738824	0.820004	0.905227	1.008393	-9.171421	2.384254
400000	12	-1.8611153618	5.034418853	59.2905574997	0.7339290651	3.0419175972	26.0488603674	6.650601	8.115273	9.825282	11.987466	16.315463	18.190273	19.294129	20.264694	21.244678	22.281165	6.259224	7.769118	9.71016	13.80153	15.622301	16.840779	17.824346	18.707727	19.924196	0.262337	0.516197	1.016999	1.95472	3.619687	7.38847	16.54057	19.616137	21.941133	1.847515	2.476491	4.050501	4.951626	5.619227	6.289181	6.805864	7.474051	0.214484	0.294396	0.507002	0.633812	0.736845	0.831289	0.919929	1.051704	-8.699417	2.384378
450000	12	-2.0044682866	5.0491607162	75.1558884542	0.9798355913	3.1666157092	26.3575690741	6.566731	8.053481	9.78142	12.066988	16.439733	18.108995	19.510017	20.696379	21.608547	22.673721	6.29578	7.795939	9.734937	13.897476	15.720273	17.032715	18.05914	18.949088	19.981184	0.254723	0.500914	0.987928	1.893087	3.527559	7.245527	16.534923	19.587976	22.221108	1.908405	2.589142	4.168755	4.913869	5.628826	6.228315	6.693508	7.381845	0.229068	0.305595	0.516181	0.637683	0.730672	0.825792	0.903061	1.012863	-9.134493	2.364203
