State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	rho
1141	5	-4.1710313225	1.7424278858	88.5810246153	5.3672867573	1.5653312852	128.0633044591	19.572601	16.369863	14.469304	30.148271	26.067224	22.780615	39.309609	34.610444	31.402678	48.961142	43.068176	60.886731	54.003461	50.458605	75.377033	69.803914	65.391291	99.742951	95.462492	92.277363	-12.50489	4.558842
1142	5	-3.9932656485	-1.012688403	83.6835508643	6.5462133796	1.8915992581	124.6225895318	19.420565	16.377133	14.017835	29.929511	25.526998	22.023205	40.004932	33.656007	30.046886	48.254515	42.518402	61.036047	53.948745	49.492668	74.629761	68.838331	63.298373	98.361099	93.630484	91.045915	-15.80556	4.460801
1143	5	-3.9940389075	2.2331773984	75.2923678608	3.6179208581	2.3714336774	130.8258384659	18.985892	15.929074	13.754292	29.806666	25.528238	21.906811	39.166578	33.515912	29.63386	48.291475	41.949135	60.350686	53.397704	48.659797	76.09907	68.395764	64.2553	100.974199	95.903345	92.488877	-11.737776	4.564756
1144	5	-4.145696914	0.1247916824	85.8734298135	4.2819672077	3.1968273625	129.2792880379	18.919517	16.12366	14.103953	29.482058	25.458615	22.498843	38.934435	34.223029	30.468156	48.03993	42.377926	60.533256	53.951868	49.164085	74.627999	68.56739	65.157645	100.74505	96.357842	92.51904	-13.57621	4.516698
1145	5	-3.7549508449	1.9789110064	75.4205877315	7.079974293	2.7431323096	126.0100252964	19.758633	16.2011	13.558349	30.43966	25.093931	21.936067	40.028404	33.8922	29.623632	48.911983	42.300237	61.429269	53.594439	48.29062	74.778605	68.659963	63.12341	99.471636	94.952081	90.125516	-12.521295	4.426572
1146	5	-3.6326657222	2.6662500173	74.8089496613	8.8484326298	2.590919774	127.4285287951	19.950703	15.811731	13.669031	30.591674	24.955077	21.847787	40.487098	33.353995	29.323064	49.199879	41.642173	61.046557	53.014064	48.128717	75.996962	68.730572	62.397602	100.068852	95.36726	90.046716	-12.759164	4.607182
1147	5	-4.0365709817	2.7820632463	68.2299018271	3.4459245836	1.1566870356	125.7056990382	19.497673	16.25637	14.384734	30.177753	25.23023	22.714411	39.881439	34.510763	30.924935	48.271952	42.662517	60.475307	53.727519	49.110079	74.207707	68.725625	64.183594	98.164514	95.455443	90.873155	-11.570761	4.448873
1148	5	-4.2426799564	4.6368458715	70.2158477043	2.7182920554	2.0744039496	127.839939208	19.144263	16.443888	14.349454	29.587431	25.984501	22.971006	38.683319	34.3894	31.098053	47.832607	42.551307	60.47119	53.67081	49.774324	74.816335	68.497979	64.762393	98.994219	96.033439	91.264885	-12.651456	4.597727
1149	5	-3.9100738622	-0.8683329089	68.5408587855	4.2399753046	1.1226679868	125.0388218352	19.776651	16.358956	13.871026	30.592227	25.617418	22.732996	39.951878	34.29874	30.193988	49.089898	43.082277	61.083917	54.045018	48.668097	75.829094	69.273245	64.08746	99.236725	94.126939	91.127637	-14.812404	4.584767
1150	5	-4.2021919318	0.4631905071	74.3234971315	2.9725360511	1.00988592	127.8719854644	18.860332	16.159164	14.22471	29.396983	25.488693	22.67364	38.840183	34.295008	30.30356	47.770616	41.942745	59.430387	53.587965	48.705331	73.696072	69.23815	64.932112	99.51496	94.440014	92.229415	-12.658468	4.400401
1151	5	-3.9872182066	2.2705419678	74.2216178715	4.4683636213	0.2346835573	127.5337750723	19.898294	16.59534	14.350213	30.632701	26.088554	22.714597	39.597821	34.635428	30.658869	49.538391	43.217862	61.491652	55.022443	50.443171	76.149402	69.617327	65.113256	100.853732	96.181779	92.32678	-11.928536	4.57737
1152	5	-4.0513585209	2.4508483142	81.8229045333	4.3944642546	1.4945883364	128.4896581734	19.05639	15.933007	13.996161	29.820288	25.114902	22.525528	39.091364	33.344329	30.052321	48.110364	42.513361	59.892953	53.321615	48.934264	74.855601	68.821922	64.346473	99.902042	95.270184	92.222906	-12.002767	4.414158
1153	5	-4.0167699428	3.3126845072	71.0148452397	3.9509225527	0.8362349357	124.6873724076	19.853636	16.530723	14.141931	30.026649	26.248181	22.769899	39.713222	34.656944	30.389732	48.773298	42.860777	60.383818	54.444721	49.778319	75.166466	69.353382	64.252476	98.914858	94.778527	89.869506	-11.895797	4.602847
