State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	logPrior	rho
1689	11	-1.921631547	5.0459853101	99.499880354	0.9340437478	3.1405267491	26.4077379069	6.573882	8.034226	9.657347	11.980995	16.375721	18.338968	19.429739	20.631079	21.466932	22.5064	6.2709	7.75154	9.68758	13.826485	15.658221	17.018737	17.954346	18.942912	19.90144	0.257251	0.508682	1.003362	1.917701	3.532315	7.358171	16.568997	19.763147	22.388686	1.851179	2.498066	4.085758	4.931335	5.605925	6.196929	6.747353	7.42463	0.218278	0.296279	0.509218	0.631937	0.732943	0.824263	0.910082	1.033217	-12.048645	2.353013
1690	11	-2.0032158566	5.0911111423	100.081385018	3.1349007973	3.0312744734	26.5465849091	6.663127	8.111065	9.86709	11.934398	16.302868	18.032128	19.430801	20.460435	21.344755	22.518779	6.430098	7.844457	9.801424	13.870522	15.699526	16.933412	17.981717	18.964273	20.061888	0.261338	0.519682	1.01158	1.954352	3.582707	7.327377	16.619781	19.727558	22.285793	1.963692	2.612732	4.228085	5.116376	5.728	6.332818	6.833167	7.557741	0.232595	0.313434	0.53487	0.655609	0.755797	0.840867	0.925088	1.044585	-13.077973	2.386122
1691	11	-2.0984390177	5.0889471505	106.3631751671	0.631164805	3.1485371556	26.4153941449	6.507008	7.971063	9.677028	11.883141	16.314672	18.138248	19.443571	20.472077	21.437214	22.460673	6.39341	7.828766	9.774734	13.812484	15.622538	16.887497	17.944668	18.804265	19.808905	0.248419	0.492819	0.969693	1.858238	3.454288	7.114597	16.472845	19.652406	22.193338	1.976634	2.626815	4.208544	4.99002	5.604118	6.165056	6.65211	7.268285	0.232902	0.316319	0.531884	0.645012	0.734359	0.817823	0.89223	0.98807	-12.044105	2.375796
1692	11	-1.9839951045	5.0870321396	102.6742173637	0.1661602583	3.0924737719	26.4060817089	6.573106	8.006203	9.620588	11.912963	16.201693	18.073312	19.390435	20.519092	21.300286	22.416651	6.304061	7.694192	9.576716	13.65547	15.504951	16.792982	17.960567	18.84232	19.917306	0.252471	0.50026	0.981276	1.877139	3.508093	7.16399	16.476686	19.573344	22.127304	1.871077	2.537074	4.084142	4.919905	5.597134	6.152255	6.706562	7.372281	0.221343	0.304303	0.513248	0.633229	0.727046	0.814355	0.897288	1.016122	-11.71917	2.388268
1693	11	-2.0333730113	5.0618487407	101.0458230086	0.7013446713	3.1265178062	26.0278598162	6.575868	8.074608	9.742154	11.93865	16.325016	18.006559	19.410367	20.374737	21.262389	22.284056	6.328737	7.824899	9.754263	13.824952	15.621713	16.834953	17.899192	18.666658	19.749043	0.257289	0.505331	0.987763	1.896333	3.518782	7.242176	16.391434	19.543445	21.909407	1.940528	2.61724	4.189196	5.002096	5.682432	6.236169	6.723324	7.366967	0.229556	0.31294	0.527884	0.650485	0.744583	0.8302	0.906019	1.015214	-12.007984	2.386277
1694	11	-1.9920385983	5.0909180494	97.3537402197	0.7453833523	3.1182183866	25.9450352986	6.489629	7.990007	9.624962	11.73774	16.163353	17.949917	19.278342	20.279768	21.102784	22.136689	6.287122	7.695937	9.647395	13.712193	15.454349	16.744908	17.93707	18.637799	19.657513	0.261746	0.517455	1.012469	1.937583	3.573881	7.359503	16.481566	19.50626	21.91062	1.932538	2.58623	4.247659	5.058088	5.698677	6.360047	6.864948	7.530559	0.232613	0.314426	0.537291	0.655414	0.755271	0.845018	0.930874	1.045716	-11.95753	2.384836
1695	11	-1.9935975641	5.0909195701	97.322973206	0.3749828531	3.1988289592	26.072473124	6.371885	7.873045	9.570477	11.807291	16.14925	17.976379	19.314313	20.489661	21.2236	22.367758	6.264459	7.683168	9.67574	13.737869	15.601113	16.980985	18.007194	18.879671	19.926184	0.262823	0.521034	1.026948	1.963973	3.625735	7.421641	16.588079	19.635807	22.001109	1.955354	2.624513	4.253229	5.106176	5.756848	6.32173	6.888093	7.571286	0.230701	0.315486	0.538023	0.658721	0.754251	0.847687	0.938619	1.055671	-11.720406	2.378435
1696	11	-2.0003601764	5.0834964396	101.7142273522	0.056785087	3.1845726378	26.1352961114	6.348506	7.946281	9.514063	11.814382	16.147969	18.077551	19.398059	20.40573	21.143851	22.330786	6.171248	7.693918	9.597574	13.761137	15.586987	16.80537	17.858105	18.808023	19.795883	0.254148	0.501451	0.982527	1.883911	3.49608	7.205771	16.460317	19.728318	22.000627	1.891645	2.546043	4.125685	4.992143	5.61228	6.162603	6.693457	7.380905	0.221723	0.305768	0.515818	0.636493	0.731112	0.822144	0.894116	1.014398	-12.087713	2.376841
1697	11	-2.0974459703	5.0266458405	103.170819286	7.9644004875	3.2806094571	25.9362045573	6.547929	8.067576	9.799543	12.058714	16.382549	18.289779	19.493624	20.557647	21.377222	22.312743	6.351288	7.882566	9.934246	14.000709	15.755354	17.01126	18.006062	18.843315	19.863676	0.251737	0.498212	0.979294	1.879375	3.46225	7.165928	16.425071	19.576556	22.064014	2.00219	2.664031	4.229062	5.089252	5.655155	6.214802	6.647112	7.335486	0.235775	0.318362	0.535765	0.650355	0.742549	0.820579	0.903371	1.006801	-14.381466	2.360907
1698	11	-1.9444123246	4.9793592635	94.1493771308	0.0477858033	3.3537288478	25.5920930945	6.481931	8.005982	9.811535	12.098958	16.519151	18.306077	19.575093	20.432172	21.284481	22.212409	6.272764	7.820945	9.906135	13.983322	15.850472	17.020843	18.017322	18.886863	19.981294	0.26473	0.525772	1.024771	1.964371	3.616289	7.386679	16.678332	19.644263	22.072349	1.92423	2.595835	4.227304	5.079407	5.74074	6.375483	6.871531	7.586219	0.226251	0.309053	0.530955	0.644176	0.752595	0.847671	0.934336	1.055257	-12.137765	2.389417
1699	11	-1.9218313303	5.0592501734	97.607352514	0.514749378	3.1608874364	26.2541957436	6.485801	7.976468	9.677542	11.919522	16.338681	18.170683	19.465679	20.568311	21.36443	22.454031	6.1754	7.660221	9.653465	13.743606	15.67393	16.971889	18.006586	18.89323	20.037098	0.260913	0.512894	1.015717	1.943793	3.583889	7.388373	16.682365	19.744021	22.179915	1.883554	2.510151	4.150251	5.00886	5.618104	6.232736	6.820121	7.542803	0.216145	0.299523	0.514458	0.635945	0.740422	0.836807	0.917992	1.043688	-11.760162	2.364044
1700	11	-2.0199010771	4.9837057174	99.4597644058	0.2960211372	3.3758081565	25.6445590765	6.430164	8.036051	9.748278	12.046871	16.553371	18.308792	19.530829	20.493337	21.35862	22.14965	6.299534	7.75012	9.84778	13.94106	15.718689	16.915094	18.008852	18.867472	19.731714	0.25475	0.504716	0.988513	1.898045	3.501048	7.257702	16.497212	19.513102	22.077498	1.934913	2.581012	4.158006	5.049673	5.617533	6.202871	6.730382	7.414093	0.225646	0.308503	0.521854	0.641986	0.744212	0.823927	0.909307	1.016792	-11.786428	2.355375
1701	11	-1.9059053652	4.9386568642	98.8314658506	0.2678418234	3.383717104	25.6788796221	6.5566	8.054493	9.858294	12.084528	16.580223	18.362546	19.535055	20.544828	21.396177	22.297291	6.202341	7.686342	9.661857	13.852094	15.752227	16.900356	17.927105	18.895848	19.735781	0.250916	0.49901	0.968687	1.875932	3.48964	7.158777	16.471933	19.66508	22.128893	1.825304	2.445998	4.041889	4.8512	5.537107	6.131014	6.6113	7.351032	0.210037	0.28885	0.491369	0.615007	0.712775	0.796501	0.8821	1.002206	-11.703474	2.352332
