State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	logPrior	rho
0	11	-5.1036256212	4.6366157815	75.6560094446	0.862552642	3.0882284827	28.9932449921	13.199052	15.141045	16.412699	17.859123	21.476546	22.98307	24.1464	24.514426	25.629287	12.575291	12.907834	13.359736	13.813226	13.994333	-16.676135	0.678923
1	11	-4.7859340128	4.7180162824	82.8696343088	0.0790980282	2.8686552597	30.0321658443	13.299	15.024383	16.475289	17.721063	21.682226	22.986564	24.249734	25.061634	25.946227	11.968715	12.66186	13.025403	13.364546	13.740154	-15.870239	0.700305
2	11	-5.7928923422	4.7120537287	82.7393695175	2.1257965621	2.9558885763	29.8566140365	13.170247	15.06927	16.369623	17.647056	21.568592	22.950288	24.27333	25.070394	25.893427	12.299944	12.690283	13.094612	13.390494	13.727883	-18.886403	0.692899
3	11	-4.8959478554	4.7985180661	83.1426956254	0.7416938522	2.6078955372	30.6561742305	13.621437	15.218023	16.354597	17.513293	21.423414	22.715131	24.132022	24.929155	25.978554	12.110078	12.601726	13.180202	13.516604	13.813723	-16.100032	0.703856
4	11	-5.594796036	4.7392706358	80.018040452	0.3295336688	2.8880749531	29.2351935119	13.138664	14.815505	16.160386	17.389619	21.166001	22.496629	23.874685	24.537606	25.550071	12.194814	12.627335	13.082436	13.272729	13.53768	-17.391612	0.697663
5	11	-4.2208901805	4.6357419949	75.3709029951	0.1685347196	3.0956295367	29.1320920682	13.14604	14.882152	16.303477	17.622004	21.503611	22.970078	24.205363	25.15536	25.615133	12.173382	12.737983	13.23805	13.672939	13.991205	-14.612819	0.679773
6	11	-4.6026208073	4.6013940084	80.0305811799	0.0500606993	2.9535497381	28.7636710831	13.544556	15.252723	16.515879	17.759528	21.431178	22.667197	23.863019	24.391757	25.201341	11.906942	12.33037	12.866852	13.095405	13.375209	-15.82755	0.703536
7	11	-4.529128564	4.6282314293	78.0982333342	1.2860374669	2.9231704891	29.2640984473	13.482392	15.218255	16.77667	17.908649	21.752536	23.036895	23.959865	24.778245	25.591933	12.09324	12.664439	13.114184	13.41578	13.780767	-15.801909	0.698349
8	11	-4.8270746066	4.6772051537	76.4221646466	0.0248300301	2.9229720834	29.0523532245	13.323015	15.152152	16.417123	17.688138	21.324793	22.722272	23.91943	24.56705	25.695944	12.234903	12.868318	13.18246	13.57036	13.85253	-16.674245	0.68445
9	11	-4.5889313559	4.6825104166	77.5751706619	0.0482930043	3.0417333885	29.1800248413	12.90401	14.900244	16.024258	17.600745	21.330419	22.82181	24.090415	24.803822	25.332794	12.066377	12.646564	12.993011	13.521623	13.680983	-15.720082	0.646326
