State	Model	DGtaudagP	DGtaudag	RateActivate	RateCleave	RateDeactivate	bubbleLeft	bubbleRight	DGtaudagM	hybridLen	logPrior	rho
70	59	1.7847592838	21.0067410486	0.0217865767	0.077784693	0.2676236534	3	0	7.8176679887	11	-20.63319901	0.253433
71	44	2.6427206974	20.878680288	0.0278745549	0.3931650725	2.256360322	2	0	8.5737528272	11	-22.098252845	0.252333
72	59	3.8146411781	19.26224826	0.1973716538	0.8117217869	0.0740611199	2	0	3.3035070074	11	-20.214712451	0.250382
73	12	5.9667407957	20.8018200805	0.0896670772	0.0819004939	0.2798916571	3	0	1.5457239309	11	-19.266149407	0.250799
74	20	4.2523508148	20.0883682017	0.0143793261	0.1855525955	0.0063864595	2	0	4.9415047719	11	-21.111786497	0.253782
75	59	2.8547341031	19.8643619618	0.7629689319	0.3219655053	0.0684096018	2	0	1.1448236273	11	-21.340933334	0.250409
76	107	2.2903756052	20.4716983683	0.0667937512	0.0142527301	0.0875335849	2	0	5.2922388743	11	-19.813791154	0.252918
77	60	1.8181900597	21.4121663871	0.4531503421	0.1058289076	0.0678992552	1	0	8.3141138285	11	-20.568666265	0.25459
78	59	3.0108067032	20.5655327596	0.1952192052	0.029184999	0.065945607	0	0	5.1442907593	11	-18.71315209	0.252138
79	123	1.8401861323	20.6774675283	0.3621388485	0.3806760865	0.0283275951	3	0	5.8609348159	11	-19.757123706	0.253419
80	59	4.209289793	19.5931999017	0.0165394238	0.1592830345	0.2414846522	0	0	4.5182555487	11	-19.577095695	0.253113
81	60	2.2262150607	20.3174043555	6.1585666841	0.0817912815	0.2649208615	3	0	8.2813697033	11	-23.077004502	0.254055
82	60	2.8390588422	20.4787057273	0.097006546	0.1085184308	0.1150706824	1	0	3.4800895097	11	-18.501115305	0.254311
83	60	2.0971073337	20.5208476773	0.297380589	0.0942047605	2.31772817	0	0	5.6241246641	11	-20.412371995	0.246451
84	44	5.2969955767	20.5346510235	0.2635538802	0.0085630065	0.8070160989	1	0	-0.3813240409	11	-23.552859888	0.253425
85	60	2.4785604261	21.0847983431	0.7441040055	0.1104210086	1.2980041756	3	0	-0.4739012125	11	-23.563959268	0.254032
86	60	2.5615541437	20.2509112094	0.0871414808	0.2992336097	0.0457778767	3	0	6.2635437813	11	-19.098691133	0.254283
87	11	4.267921378	21.4415520143	0.170036829	0.0107445494	0.1547816368	0	0	3.035159304	11	-19.511412585	0.254506
88	12	4.8514622136	20.2463653211	0.162127509	0.0605899968	0.583563952	1	0	1.8371369374	11	-19.538183149	0.252026
89	107	1.8919426179	20.7060701442	0.0063030133	0.6102813804	0.3948628857	1	0	5.4905730838	11	-21.430469106	0.253697
90	59	2.1852001291	20.7394333221	0.398975911	0.2183281204	0.9225359072	0	0	5.6371225531	11	-19.476165113	0.25367
91	43	1.9022372435	20.565397907	3.870247023	1.1935842554	0.114844406	1	0	2.9285693199	11	-22.479891628	0.250597
92	123	-0.1848897929	23.1467036288	0.0086776436	0.0342428177	0.1143705433	1	0	7.9219501808	11	-26.285886232	0.25342
93	44	3.552803339	19.7067961136	0.0245184291	0.1670299486	0.0489783112	1	0	10.0919706325	11	-22.688050728	0.25367
94	3	7.527869674	20.271456685	0.121967042	0.066203116	0.2520432774	0	0	1.5815224973	11	-20.154745914	0.250661
95	123	1.8938265107	21.0623268033	1.0568676205	0.846881405	0.1040254776	2	0	2.8487387322	11	-20.726054792	0.253141
96	60	2.10336077	20.8628204721	0.1512001623	0.0407659245	0.0574973896	3	0	7.7682197086	11	-19.966567547	0.254171
97	123	1.9389894006	20.7932309593	0.1346407007	0.2813337883	1.2713293551	3	0	8.7384504422	11	-21.455282554	0.251218
98	60	3.8265071969	19.5221253609	0.2956352986	0.0701275517	1.4155476681	2	0	5.7392637274	11	-20.073671604	0.25459
99	60	2.723999352	20.7064368311	0.0636620175	0.3756869321	0.2525373573	3	0	6.9135740598	11	-18.976202043	0.254088
100	44	1.1594637706	21.3798592982	1.3350655702	1.2831592393	0.3461571886	3	0	4.3211089625	11	-21.601472936	0.251686
101	60	2.8634701523	19.9730409844	0.0092777417	0.0014463385	0.0412291942	0	0	5.8877917793	11	-25.032340553	0.247596
102	59	0.8799496973	21.9852343066	1.6595352095	0.3637131825	0.093569518	1	0	6.1857680889	11	-21.682453818	0.253837
103	60	4.2564207668	19.9736309398	0.2066040466	0.2216088178	0.0595690118	0	0	5.7769888078	11	-18.331883667	0.254228
104	60	1.8764354138	21.0894945273	2.3648676362	0.051137566	0.2748803386	0	0	3.9639838977	11	-20.744464816	0.254367
105	43	2.4828580083	20.2413242176	0.0358338874	0.0477831192	0.0030549312	1	0	-0.1296236053	11	-25.613953782	0.251441
106	123	3.5512382882	19.138098112	0.3502318314	0.1948832184	2.2068953826	1	0	3.4915457022	11	-21.452953717	0.253057
107	43	1.2844030309	21.1467745827	0.28680493	3.2610860038	0.2527184404	1	0	6.2397423555	11	-21.562397844	0.247092
108	44	1.7949967665	20.9876651709	0.0716666567	0.0557265379	0.106404482	0	0	2.3883547421	11	-19.884536055	0.250243
109	60	2.833458915	19.8600127886	0.0071847982	0.0635449597	0.0845217345	2	0	2.9923574158	11	-21.279956171	0.25002
110	44	2.7768241987	19.9139058571	0.3555108098	0.2264720363	0.0211546282	0	0	5.7242991031	11	-19.695402763	0.253336
111	59	1.5556617145	21.2550407918	0.142075868	0.0885443451	0.1822179218	1	0	3.7709035783	11	-19.196125943	0.251692
112	107	3.2467800876	20.6457634615	0.0893348368	0.0054884302	0.2936900387	3	0	5.0205163973	11	-20.292150988	0.254557
113	59	2.6311193621	19.8027394069	0.5558960594	0.0469418412	0.0431111754	3	0	2.6680601743	11	-20.486760642	0.250911
114	43	2.4762725242	20.3198842295	0.0133110914	0.1865862081	0.0493562872	0	0	7.1949851543	11	-20.521036902	0.250856
115	123	3.3249340721	20.1395222112	0.1599581082	0.0828167949	0.18584006	0	0	3.4982412675	11	-18.513429006	0.253628
116	123	3.1705894537	19.5097926211	0.2977291035	0.0699688638	2.1410889024	0	0	2.5191368709	11	-21.47550797	0.247902
117	60	1.5421488691	21.3947551506	1.0670064482	0.0342196317	0.7381586938	1	0	3.5892630756	11	-21.08745825	0.252751
118	43	3.2222952674	20.5242593625	0.2002371549	0.6938450568	1.6028336878	3	0	7.1200322935	11	-20.253362197	0.254492
119	43	1.8020852243	21.0681631229	0.6046938523	0.0825595401	0.0097577787	2	0	3.9876784453	11	-20.871084505	0.252416
120	43	2.859566105	20.1425887161	1.7616185499	0.3257907654	0.2020800694	3	0	6.0181084155	11	-19.973763234	0.253112
121	43	2.2588674242	20.0412687883	0.332969373	0.1975403984	0.2693042423	0	0	8.7104029252	11	-20.794934788	0.251152
122	91	5.8993796197	19.6766265317	0.1405872327	0.9211467583	0.1011006898	0	0	7.0061293397	11	-19.656849796	0.254116
123	44	2.4642680335	20.4443401473	0.3086777155	0.040144569	0.9360660147	2	0	1.0792651455	11	-21.509739666	0.252723
124	43	2.7949719944	20.3928033544	0.2553249616	0.0768320149	0.4215131487	2	0	2.0561185494	11	-19.696930413	0.254144
125	124	2.3484981371	20.1551302958	0.7967095186	0.0234791463	0.0605381565	1	0	5.4197424789	11	-20.15915041	0.253055
126	123	3.2361484484	19.2006302506	0.5784703634	0.0469204308	0.0597792397	2	0	6.4867661181	11	-20.551218544	0.253779
127	107	1.7417971786	20.8548172989	0.6589151447	0.2141799305	0.1364879295	2	0	6.9140286225	11	-19.740022103	0.250577
128	59	2.7992042146	19.915516879	0.4030397721	0.1388601242	0.0987776942	3	0	4.463553081	11	-18.910332249	0.25431
129	59	2.8581607241	20.0690446064	5.815398023	0.0053407206	0.1222251962	3	0	8.6078229937	11	-25.24008165	0.253809
130	44	2.5631668664	19.734107878	0.1536442694	0.6793415869	0.217419111	3	0	7.5070174317	11	-20.295777513	0.253748
131	60	1.3388682276	21.910187521	0.1260815023	0.2853134959	0.0194939236	2	0	6.2081661696	11	-20.651749653	0.254868
132	11	6.7871453357	21.6595449934	0.2273512746	0.0297044587	0.2585623936	3	0	1.8231296023	11	-19.950989259	0.254227
133	124	2.874789658	19.764558469	0.0187722695	0.0441552367	0.5287602009	0	0	7.1405640251	11	-20.862744164	0.253584
134	123	3.9227443352	18.9767599395	0.121513908	0.0540953593	0.0289759495	2	0	9.1436307386	11	-22.526756871	0.254952
135	60	3.4372198026	20.5084469379	0.0022024612	0.0728366441	0.2202449405	3	0	8.1668849269	11	-22.944075276	0.253962
136	43	2.9658886862	20.3910740739	0.1695023692	0.0297307875	0.1206578099	1	0	1.7312789786	11	-20.009795695	0.252904
137	43	2.936662298	19.6310431141	0.0428347986	0.5744380998	0.3183955097	1	0	5.9291433733	11	-19.84950205	0.252193
138	124	1.2633994357	21.2322091704	0.0326023038	0.4228414749	0.3338159714	3	0	5.4934521741	11	-20.089449286	0.251911
139	43	5.582248844	19.3668048652	0.0075756408	0.024542984	0.5287702529	0	0	6.7110349145	11	-22.027910528	0.254478
140	43	3.1664175991	19.8034412816	0.0730363138	0.2484299535	2.5904599015	1	0	6.7701522797	11	-20.868395664	0.250884
141	59	3.9071291095	19.0735079265	0.0119758568	0.1049178414	0.1186955386	3	0	3.9667257191	11	-20.910779188	0.254032
142	123	3.0219618388	19.4170481101	0.4902225704	0.3376993366	0.3746550511	1	0	5.6274509085	11	-19.872693285	0.253363
143	124	3.4939988036	19.2947331151	0.1563373533	4.6760938934	0.0875779709	1	0	6.0748673211	11	-21.908362543	0.251274
144	123	2.9473140431	20.1552745282	4.8994416322	0.0070610074	0.1113246115	1	0	8.1711059499	11	-24.122442205	0.25498
145	75	4.8896479162	20.23903146	0.3546752743	0.0196828038	0.1010983409	0	0	4.3382425728	11	-18.812633247	0.254841
146	43	2.1351208343	20.8255622837	0.0684923406	1.1752367239	0.2385896041	0	0	7.5573402591	11	-20.381190236	0.251998
147	11	7.5087068096	20.2102080589	0.3564528125	0.0904179393	0.5243934014	3	0	0.790007272	11	-21.308680686	0.25392
148	60	0.6901388739	22.0868220456	0.1728967914	0.1759857035	0.1970546658	3	0	5.237300969	11	-20.382805003	0.25272
149	59	3.6096801116	19.5568202835	0.0548908297	0.0773609312	0.9376648287	3	0	4.5153599816	11	-19.758345122	0.2547
150	3	4.4570444977	20.5669471031	0.1044677762	0.0692879479	0.2950841357	2	0	1.5427677463	11	-19.298226215	0.253893
151	59	6.0590103549	19.8723547893	0.0363298385	0.0769965742	0.4157827533	2	0	4.8006447178	11	-18.933008029	0.254311
152	60	3.0427413051	20.4227940779	0.0736645417	0.1513238983	0.2650138081	3	0	4.7444638506	11	-18.256691988	0.25282
153	107	2.1958728601	21.3701158899	0.0319363075	0.730681681	1.0945394582	3	0	6.7190298693	11	-20.744631044	0.254645
154	44	3.5085837532	19.1117035662	0.7414744085	0.0068537543	0.2302535694	2	0	3.2911581786	11	-22.425901043	0.253698
155	60	2.8037538595	19.7713761051	0.2212719525	0.0289926873	0.1110075469	1	0	1.3746217059	11	-21.029557846	0.253416
156	59	1.2469394767	21.2161341895	0.1625591263	0.6191290211	0.1146202608	0	0	8.3591712518	11	-21.081942203	0.249936
157	124	3.4853841991	19.7398477965	0.0418088524	0.0892537519	0.6083051494	1	0	7.056568246	11	-19.848105151	0.253057
158	59	2.6990290303	20.3294793048	0.2733332491	0.0433054054	0.3349346641	0	0	3.9089502552	11	-19.005012958	0.254729
159	44	2.0447914387	20.612861513	0.3646064221	0.0637893687	0.0453070199	1	0	6.9714617554	11	-19.688921158	0.251943
160	60	2.0225827684	20.8489238337	0.4578923238	0.0014963064	0.8577266214	2	0	5.7985642329	11	-23.984537525	0.250912
161	60	2.4225315925	20.5910641709	0.1166170568	2.320498913	0.21429529	3	0	5.4562181203	11	-20.031223947	0.25275
162	44	2.6735112623	19.855663753	0.2199050586	0.0745885105	0.8107536572	3	0	4.2328184557	11	-19.587923808	0.249852
163	43	2.9280577362	19.6093701056	0.0102079275	0.0601120724	0.422408695	2	0	3.4911236957	11	-21.107549336	0.249624
164	44	1.2898344198	21.2103630173	0.0721297335	1.5559155138	0.5172294257	3	0	6.939687784	11	-21.27221726	0.254142
165	12	9.8817957785	20.5017394449	0.1678986211	0.0303053848	0.8377272356	1	0	3.583180917	11	-21.952984432	0.254841
166	59	1.7281002394	21.2824121496	0.1261156483	0.1196834715	1.5965809991	2	0	2.9288569854	11	-20.567798603	0.254757
167	44	7.1090176084	21.070394378	0.1710669079	0.0333307619	0.3407599017	0	0	-0.1189560451	11	-21.878878261	0.25381
168	123	3.427132123	19.4186343811	0.8048329735	0.170787397	0.0567924178	3	0	6.3950590247	11	-20.041975427	0.253642
169	60	2.1372752557	20.8193855519	0.2562429076	0.0283539812	0.0319869898	0	0	5.514527543	11	-19.615698742	0.254896
170	12	6.9855627505	21.4755374071	0.1747219798	0.2095319945	0.3859272335	0	0	0.4680313551	11	-20.839822368	0.254924
171	60	1.2048876985	21.2605886445	0.0482088723	0.1811107171	0.0534025516	2	0	4.92533463	11	-19.741583209	0.248612
172	59	2.2903003162	20.5929612406	1.7032553183	0.0774435762	0.3246067845	3	0	5.3673741689	11	-19.945110281	0.252137
173	124	1.9035828728	20.6331452461	0.7689367778	0.105408864	0.2231919864	2	0	3.965998767	11	-19.475395603	0.254478
174	60	3.8061279442	19.5841100774	0.1186306474	0.0518535824	1.0184128045	0	0	7.8524244414	11	-20.659098453	0.253977
175	123	3.4795800806	19.4873376615	2.226786378	0.0274314234	0.3765470564	2	0	1.4263891328	11	-22.807428232	0.248905
176	4	6.6766532782	20.578643683	0.0206619833	0.0784749268	0.3245299238	0	0	1.4109344246	11	-20.497127968	0.252556
177	44	1.7016536814	21.5375069744	0.0611193321	0.0626660624	0.0323052081	2	0	5.4059622702	11	-19.736693801	0.253587
178	60	2.465653719	20.0346392263	0.0188493054	3.1243522708	0.1745246021	3	0	4.8191333556	11	-21.5739219	0.253259
179	44	3.2883048298	19.9541531364	0.1058628285	0.0441623074	0.0593593667	0	0	6.8507399363	11	-19.258672098	0.254395
180	44	3.5267727987	20.612601343	0.0442161565	0.0289532608	0.0476273714	2	0	7.5428865561	11	-19.691532234	0.254785
181	59	2.1952874956	20.5491153162	0.7518132866	0.0169470185	0.9804767123	2	0	7.5854917737	11	-21.661982957	0.25119
182	60	-0.0514653753	22.6113236963	1.9816209864	1.5191126534	0.1539470956	3	0	3.2968159554	11	-24.883446149	0.252687
183	43	3.0780877003	19.7357701471	0.4682198845	0.1987443001	0.3792360162	0	0	2.6790592065	11	-19.868003132	0.251553
184	44	1.4055604069	21.6064621323	0.2336681294	0.1114742155	0.0435252228	3	0	7.8161060325	11	-20.587852068	0.254784
185	43	1.3300208854	21.830868986	0.1162858263	0.0206794404	0.003099339	2	0	6.277103691	11	-23.592296	0.254506
186	59	0.9450432283	21.6335746589	0.0435446386	0.0766972511	0.012581095	1	0	1.9825756443	11	-22.475782408	0.250019
187	12	4.1730629789	20.267908736	0.0554091529	0.1710779033	2.5214044668	0	0	3.0150941437	11	-20.194727351	0.254534
188	59	2.4189671095	20.5769663087	0.300385308	4.6679652645	0.0122889031	0	0	8.4562696672	11	-23.781153791	0.252193
189	107	3.0623808178	19.8816656777	0.0041757741	0.0191616898	0.0492925614	3	0	6.7604884329	11	-22.676320901	0.250716
190	124	2.6889732901	20.2501015276	2.0052749365	0.0686119653	0.2911993831	0	0	7.7601356724	11	-21.00457375	0.249909
191	43	2.6408718305	19.705337386	0.8716856157	0.3075075085	0.0800851909	0	0	3.8265357407	11	-20.006132723	0.251801
192	123	1.5483324793	21.1441303096	3.350076225	0.0251124058	0.4890843298	3	0	4.709432523	11	-21.976880066	0.251218
193	123	4.207923859	19.6215846006	0.0186188417	0.0069620995	0.0125851266	0	0	4.0618936164	11	-22.662355937	0.253921
194	4	2.9773558384	19.772854328	0.2005113913	0.138288143	4.7064658139	0	0	3.3239343911	11	-21.618967929	0.253754
195	107	2.6762373959	20.2395733985	0.0534399349	1.4712693194	0.0951427429	0	0	7.6104933943	11	-20.624348772	0.248515
196	11	9.8439470705	21.5143118823	0.2611783604	0.1152649893	0.4273229462	3	0	0.744696413	11	-23.08778825	0.253767
197	44	1.7399515579	20.941162192	0.276123812	0.0477248316	0.0024353885	0	0	3.5614580194	11	-22.888959019	0.252277
198	44	2.4140536721	20.0932235019	0.4503551957	0.0595037659	0.3362378891	3	0	6.3278606733	11	-19.48346189	0.251322
199	59	1.2210631518	21.7662526056	0.736627081	2.620053397	0.1458933809	1	0	4.8169781383	11	-21.83314882	0.253726
200	44	2.4993924656	20.2863726512	0.4731561044	0.1309648118	0.0556847564	0	0	9.3537643959	11	-21.325127503	0.251386
201	43	1.7635485939	20.9787105269	0.8521705206	0.1338276713	0.0586765898	2	0	4.5818588586	11	-19.595602076	0.25498
202	123	1.3481214027	21.1730784052	0.0648337804	0.0654421642	0.0689907996	2	0	3.7514582361	11	-19.693543553	0.251216
203	59	3.5638899527	19.7713744415	0.1408680527	0.256187231	0.236537375	1	0	4.4236082728	11	-18.601943531	0.254701
204	124	2.8422345083	20.1490960056	0.0320681027	0.1060811028	0.029283265	2	0	4.776061957	11	-19.421198619	0.253197
205	123	1.7545368043	21.0888060241	0.1559302712	0.3125269484	0.0196286803	3	0	1.202093453	11	-21.521959605	0.254645
206	123	2.7170840073	19.7668496776	0.0674318566	0.035653626	0.0280781359	0	0	2.5675483994	11	-20.689123658	0.253252
207	44	1.8209510468	21.0422627574	0.0616272516	0.2285780978	0.1513011366	0	0	8.3706272717	11	-20.312216226	0.254228
208	59	3.2075832427	20.1384828684	0.0348912704	0.0235973349	0.3269589282	3	0	7.6586886126	11	-20.348825228	0.252917
209	123	1.0337879542	21.5074931052	0.0184666095	0.7176232152	1.5472091789	2	0	7.5577179283	11	-22.957583436	0.253392
210	124	3.3827787498	19.927545314	49.5296819736	0.2801729454	0.2669290304	0	0	6.4956533988	11	-25.952532855	0.252862
211	44	1.8740899687	21.1198931609	0.0338210482	0.0713570429	0.0997969546	1	0	7.7097039444	11	-20.158981256	0.2542
212	60	1.3108648211	21.3426598627	0.0760825665	0.2419887718	0.7642082775	3	0	1.7036275957	11	-21.272274557	0.250324
213	59	1.5966083598	21.0819007285	0.0203028484	0.4041044824	0.1394687318	0	0	3.2077524221	11	-20.31916462	0.252862
214	44	2.501796146	21.3080164921	0.1652896251	1.0568646755	0.1235097996	2	0	6.1964049444	11	-19.275839035	0.25498
215	3	4.6092423929	20.1067695581	0.2076973287	0.0122579601	0.4918389244	0	0	4.8971614765	11	-19.477625837	0.253531
216	107	2.4365991285	20.6233536369	0.1217774549	0.2893777517	0.1700949299	0	0	8.6722759865	11	-20.119510351	0.249783
